,x,y
0,243699,572109
1,243699,572109
2,243699,572109
3,243698,572109
4,243698,572108
5,243698,572108
6,243698,572108
7,243697,572108
8,243697,572108
9,243697,572107
10,243699,572110
11,243699,572109
12,243698,572109
13,243698,572109
14,243698,572109
15,243698,572108
16,243697,572108
17,243697,572108
18,243697,572107
19,243696,572107
20,243696,572107
21,243696,572107
22,243695,572106
23,243695,572106
24,243695,572106
25,243695,572106
26,243694,572105
27,243694,572105
28,243694,572105
29,243694,572105
30,243693,572105
31,243693,572104
32,243693,572104
33,243692,572104
34,243692,572104
35,243692,572103
36,243692,572103
37,243691,572102
38,243699,572109
39,243698,572109
40,243698,572109
41,243698,572109
42,243698,572108
43,243697,572108
44,243697,572108
45,243697,572108
46,243696,572107
47,243696,572107
48,243696,572107
49,243696,572107
50,243695,572106
51,243695,572106
52,243695,572106
53,243695,572106
54,243694,572106
55,243694,572105
56,243694,572105
57,243693,572105
58,243693,572105
59,243693,572104
60,243693,572104
61,243692,572104
62,243692,572104
63,243692,572103
64,243692,572103
65,243691,572103
66,243691,572103
67,243691,572102
68,243691,572102
69,243690,572102
70,243690,572102
71,243690,572101
72,243689,572101
73,243699,572110
74,243699,572110
75,243698,572109
76,243698,572109
77,243698,572109
78,243697,572109
79,243697,572108
80,243697,572108
81,243696,572108
82,243696,572108
83,243696,572107
84,243696,572107
85,243695,572107
86,243695,572107
87,243695,572106
88,243695,572106
89,243694,572106
90,243694,572106
91,243694,572105
92,243693,572105
93,243693,572105
94,243693,572105
95,243693,572104
96,243692,572104
97,243692,572104
98,243692,572104
99,243692,572103
100,243691,572103
101,243691,572103
102,243691,572103
103,243691,572102
104,243690,572102
105,243690,572102
106,243690,572102
107,243689,572101
108,243689,572101
109,243689,572101
110,243688,572101
111,243688,572100
112,243688,572100
113,243687,572100
114,243687,572099
115,243687,572099
116,243686,572099
117,243686,572099
118,243686,572098
119,243686,572098
120,243685,572098
121,243685,572098
122,243685,572097
123,243699,572110
124,243698,572110
125,243698,572110
126,243697,572109
127,243697,572109
128,243697,572109
129,243697,572108
130,243696,572108
131,243696,572108
132,243696,572108
133,243696,572107
134,243695,572107
135,243695,572107
136,243695,572107
137,243695,572106
138,243694,572106
139,243694,572106
140,243694,572106
141,243693,572105
142,243693,572105
143,243693,572105
144,243693,572105
145,243692,572104
146,243692,572104
147,243692,572104
148,243692,572104
149,243691,572103
150,243691,572103
151,243691,572103
152,243690,572103
153,243690,572102
154,243690,572102
155,243690,572102
156,243689,572102
157,243689,572101
158,243689,572101
159,243688,572101
160,243688,572100
161,243688,572100
162,243687,572100
163,243687,572099
164,243686,572099
165,243686,572099
166,243686,572099
167,243686,572098
168,243685,572098
169,243685,572098
170,243685,572098
171,243685,572097
172,243684,572097
173,243684,572097
174,243684,572097
175,243683,572096
176,243683,572096
177,243683,572096
178,243682,572095
179,243682,572095
180,243682,572095
181,243682,572095
182,243681,572094
183,243681,572094
184,243681,572094
185,243698,572110
186,243698,572110
187,243698,572110
